Analysis for Amli Arts Center .analysis.json
Video file: Amli Arts Center .mp4
Duration: 35.166666666666664s, fps: 30.0, frames: 1055

Top motion samples:
 - t=1.0s motion=47.37 ocr=None
 - t=2.0s motion=32.40 ocr=None
 - t=3.0s motion=27.70 ocr=None

Full sample timeline (time, motion, ocr):
0.0s | motion=0.00 | ocr=None
1.0s | motion=47.37 | ocr=None
2.0s | motion=32.40 | ocr=None
3.0s | motion=27.70 | ocr=None
4.0s | motion=12.95 | ocr=None
5.0s | motion=0.39 | ocr=None
6.0s | motion=15.10 | ocr=None
7.0s | motion=0.00 | ocr=None
8.0s | motion=2.83 | ocr=None
9.0s | motion=0.08 | ocr=None
10.0s | motion=0.02 | ocr=None
11.0s | motion=1.84 | ocr=None
12.0s | motion=1.95 | ocr=None
13.0s | motion=0.05 | ocr=None
14.0s | motion=0.95 | ocr=None
15.0s | motion=3.67 | ocr=None
16.0s | motion=0.46 | ocr=None
17.0s | motion=0.45 | ocr=None
18.0s | motion=0.06 | ocr=None
19.0s | motion=0.50 | ocr=None
20.0s | motion=0.09 | ocr=None
21.0s | motion=0.29 | ocr=None
22.0s | motion=0.01 | ocr=None
23.0s | motion=0.91 | ocr=None
24.0s | motion=4.93 | ocr=None
25.0s | motion=5.21 | ocr=None
26.0s | motion=0.24 | ocr=None
27.0s | motion=0.20 | ocr=None
28.0s | motion=2.31 | ocr=None
29.0s | motion=2.19 | ocr=None
30.0s | motion=5.80 | ocr=None
31.0s | motion=0.09 | ocr=None
32.0s | motion=0.05 | ocr=None
33.0s | motion=0.04 | ocr=None
34.0s | motion=0.03 | ocr=None
35.0s | motion=0.73 | ocr=None
