Analysis for Amli Atlantic Station.analysis.json
Video file: Amli Atlantic Station.mp4
Duration: 39.9s, fps: 30.0, frames: 1197

Top motion samples:
 - t=4.0s motion=59.49 ocr=None
 - t=2.0s motion=56.20 ocr=None
 - t=5.0s motion=49.10 ocr=None

Full sample timeline (time, motion, ocr):
0.0s | motion=0.00 | ocr=None
1.0s | motion=0.18 | ocr=None
2.0s | motion=56.20 | ocr=None
3.0s | motion=47.73 | ocr=None
4.0s | motion=59.49 | ocr=None
5.0s | motion=49.10 | ocr=None
6.0s | motion=33.76 | ocr=None
7.0s | motion=23.64 | ocr=None
8.0s | motion=14.94 | ocr=None
9.0s | motion=14.90 | ocr=None
10.0s | motion=11.64 | ocr=None
11.0s | motion=0.52 | ocr=None
12.0s | motion=2.59 | ocr=None
13.0s | motion=0.08 | ocr=None
14.0s | motion=2.05 | ocr=None
15.0s | motion=0.13 | ocr=None
16.0s | motion=0.02 | ocr=None
17.0s | motion=0.74 | ocr=None
18.0s | motion=1.24 | ocr=None
19.0s | motion=0.35 | ocr=None
20.0s | motion=0.02 | ocr=None
21.0s | motion=0.65 | ocr=None
22.0s | motion=0.04 | ocr=None
23.0s | motion=0.02 | ocr=None
24.0s | motion=0.19 | ocr=None
25.0s | motion=0.19 | ocr=None
26.0s | motion=0.02 | ocr=None
27.0s | motion=0.20 | ocr=None
28.0s | motion=4.34 | ocr=None
29.0s | motion=5.35 | ocr=None
30.0s | motion=6.05 | ocr=None
31.0s | motion=6.89 | ocr=None
32.0s | motion=0.31 | ocr=None
33.0s | motion=6.08 | ocr=None
34.0s | motion=3.75 | ocr=None
35.0s | motion=5.14 | ocr=None
36.0s | motion=0.08 | ocr=None
37.0s | motion=4.28 | ocr=None
38.0s | motion=0.01 | ocr=None
39.0s | motion=0.72 | ocr=None
