Analysis for Atlantic House Midtown.analysis.json
Video file: Atlantic House Midtown.mp4
Duration: 25.1s, fps: 30.0, frames: 753

Top motion samples:
 - t=1.0s motion=97.80 ocr=None
 - t=20.0s motion=81.08 ocr=None
 - t=13.0s motion=78.69 ocr=None

Full sample timeline (time, motion, ocr):
0.0s | motion=0.00 | ocr=None
1.0s | motion=97.80 | ocr=None
2.0s | motion=77.79 | ocr=None
3.0s | motion=57.63 | ocr=None
4.0s | motion=2.55 | ocr=None
5.0s | motion=31.94 | ocr=None
6.0s | motion=30.14 | ocr=None
7.0s | motion=0.01 | ocr=None
8.0s | motion=32.30 | ocr=None
9.0s | motion=0.12 | ocr=None
10.0s | motion=17.14 | ocr=None
11.0s | motion=0.65 | ocr=None
12.0s | motion=0.27 | ocr=None
13.0s | motion=78.69 | ocr=None
14.0s | motion=23.69 | ocr=None
15.0s | motion=8.94 | ocr=None
16.0s | motion=22.07 | ocr=None
17.0s | motion=0.01 | ocr=None
18.0s | motion=2.30 | ocr=None
19.0s | motion=0.20 | ocr=None
20.0s | motion=81.08 | ocr=None
21.0s | motion=0.02 | ocr=None
22.0s | motion=0.11 | ocr=None
23.0s | motion=0.06 | ocr=None
24.0s | motion=0.01 | ocr=None
25.0s | motion=0.02 | ocr=None
