Analysis for Broadstone2thirty.analysis.json
Video file: Broadstone2thirty.mp4
Duration: 60.833333333333336s, fps: 30.0, frames: 1825

Top motion samples:
 - t=4.0s motion=84.27 ocr=None
 - t=16.0s motion=78.42 ocr=None
 - t=30.0s motion=74.39 ocr=None

Full sample timeline (time, motion, ocr):
0.0s | motion=0.00 | ocr=None
1.0s | motion=54.62 | ocr=None
2.0s | motion=1.28 | ocr=None
3.0s | motion=0.75 | ocr=None
4.0s | motion=84.27 | ocr=None
5.0s | motion=61.17 | ocr=None
6.0s | motion=54.77 | ocr=None
7.0s | motion=15.57 | ocr=None
8.0s | motion=10.62 | ocr=None
9.0s | motion=18.93 | ocr=None
10.0s | motion=21.03 | ocr=None
11.0s | motion=21.33 | ocr=None
12.0s | motion=0.02 | ocr=None
13.0s | motion=0.16 | ocr=None
14.0s | motion=0.08 | ocr=None
15.0s | motion=0.18 | ocr=None
16.0s | motion=78.42 | ocr=None
17.0s | motion=17.57 | ocr=None
18.0s | motion=24.65 | ocr=None
19.0s | motion=0.01 | ocr=None
20.0s | motion=0.26 | ocr=None
21.0s | motion=4.47 | ocr=None
22.0s | motion=16.37 | ocr=None
23.0s | motion=11.47 | ocr=None
24.0s | motion=0.00 | ocr=None
25.0s | motion=0.01 | ocr=None
26.0s | motion=0.25 | ocr=None
27.0s | motion=0.06 | ocr=None
28.0s | motion=0.06 | ocr=None
29.0s | motion=11.45 | ocr=None
30.0s | motion=74.39 | ocr=None
31.0s | motion=0.13 | ocr=None
32.0s | motion=0.14 | ocr=None
33.0s | motion=0.20 | ocr=None
34.0s | motion=0.20 | ocr=None
35.0s | motion=43.12 | ocr=None
36.0s | motion=55.56 | ocr=None
37.0s | motion=53.00 | ocr=None
38.0s | motion=43.28 | ocr=None
39.0s | motion=30.34 | ocr=None
40.0s | motion=11.58 | ocr=None
41.0s | motion=34.33 | ocr=None
42.0s | motion=0.26 | ocr=None
43.0s | motion=13.17 | ocr=None
44.0s | motion=0.08 | ocr=None
45.0s | motion=0.07 | ocr=None
46.0s | motion=7.83 | ocr=None
47.0s | motion=5.73 | ocr=None
48.0s | motion=5.73 | ocr=None
49.0s | motion=0.00 | ocr=None
50.0s | motion=0.00 | ocr=None
51.0s | motion=5.96 | ocr=None
52.0s | motion=3.66 | ocr=None
53.0s | motion=5.77 | ocr=None
54.0s | motion=12.82 | ocr=None
55.0s | motion=13.63 | ocr=None
56.0s | motion=13.23 | ocr=None
57.0s | motion=0.00 | ocr=None
58.0s | motion=0.00 | ocr=None
59.0s | motion=0.07 | ocr=None
60.0s | motion=0.10 | ocr=None
