Analysis for Cortland Peachtree Corners.analysis.json
Video file: Cortland Peachtree Corners.mp4
Duration: 35.266666666666666s, fps: 30.0, frames: 1058

Top motion samples:
 - t=28.0s motion=137.90 ocr=None
 - t=30.0s motion=137.85 ocr=None
 - t=32.0s motion=134.90 ocr=None

Full sample timeline (time, motion, ocr):
0.0s | motion=0.00 | ocr=None
1.0s | motion=13.12 | ocr=None
2.0s | motion=114.63 | ocr=None
3.0s | motion=2.67 | ocr=None
4.0s | motion=125.70 | ocr=None
5.0s | motion=69.79 | ocr=None
6.0s | motion=21.38 | ocr=None
7.0s | motion=21.91 | ocr=None
8.0s | motion=0.02 | ocr=None
9.0s | motion=0.25 | ocr=None
10.0s | motion=103.40 | ocr=None
11.0s | motion=79.13 | ocr=None
12.0s | motion=26.06 | ocr=None
13.0s | motion=0.84 | ocr=None
14.0s | motion=0.02 | ocr=None
15.0s | motion=86.36 | ocr=None
16.0s | motion=85.65 | ocr=None
17.0s | motion=65.35 | ocr=None
18.0s | motion=0.18 | ocr=None
19.0s | motion=31.14 | ocr=None
20.0s | motion=51.57 | ocr=None
21.0s | motion=0.83 | ocr=None
22.0s | motion=28.03 | ocr=None
23.0s | motion=81.36 | ocr=None
24.0s | motion=52.99 | ocr=None
25.0s | motion=75.17 | ocr=None
26.0s | motion=3.46 | ocr=None
27.0s | motion=6.07 | ocr=None
28.0s | motion=137.90 | ocr=None
29.0s | motion=0.13 | ocr=None
30.0s | motion=137.85 | ocr=None
31.0s | motion=0.49 | ocr=None
32.0s | motion=134.90 | ocr=None
33.0s | motion=0.02 | ocr=None
34.0s | motion=0.02 | ocr=None
35.0s | motion=0.18 | ocr=None
