Analysis for Novel Midtown Atlanta.analysis.json
Video file: Novel Midtown Atlanta.mp4
Duration: 63.46666666666667s, fps: 30.0, frames: 1904

Top motion samples:
 - t=44.0s motion=145.97 ocr=None
 - t=46.0s motion=112.54 ocr=None
 - t=9.0s motion=95.93 ocr=None

Full sample timeline (time, motion, ocr):
0.0s | motion=0.00 | ocr=None
1.0s | motion=18.70 | ocr=None
2.0s | motion=47.84 | ocr=None
3.0s | motion=48.75 | ocr=None
4.0s | motion=0.47 | ocr=None
5.0s | motion=83.68 | ocr=None
6.0s | motion=0.60 | ocr=None
7.0s | motion=0.03 | ocr=None
8.0s | motion=90.11 | ocr=None
9.0s | motion=95.93 | ocr=None
10.0s | motion=8.28 | ocr=None
11.0s | motion=11.25 | ocr=None
12.0s | motion=0.12 | ocr=None
13.0s | motion=15.12 | ocr=None
14.0s | motion=0.23 | ocr=None
15.0s | motion=9.13 | ocr=None
16.0s | motion=10.14 | ocr=None
17.0s | motion=0.31 | ocr=None
18.0s | motion=10.07 | ocr=None
19.0s | motion=61.80 | ocr=None
20.0s | motion=5.69 | ocr=None
21.0s | motion=17.35 | ocr=None
22.0s | motion=1.38 | ocr=None
23.0s | motion=16.98 | ocr=None
24.0s | motion=3.55 | ocr=None
25.0s | motion=26.50 | ocr=None
26.0s | motion=16.00 | ocr=None
27.0s | motion=13.11 | ocr=None
28.0s | motion=13.82 | ocr=None
29.0s | motion=6.31 | ocr=None
30.0s | motion=6.82 | ocr=None
31.0s | motion=13.85 | ocr=None
32.0s | motion=15.20 | ocr=None
33.0s | motion=0.57 | ocr=None
34.0s | motion=0.58 | ocr=None
35.0s | motion=0.11 | ocr=None
36.0s | motion=0.15 | ocr=None
37.0s | motion=0.00 | ocr=None
38.0s | motion=0.00 | ocr=None
39.0s | motion=85.07 | ocr=None
40.0s | motion=0.82 | ocr=None
41.0s | motion=0.12 | ocr=None
42.0s | motion=85.37 | ocr=None
43.0s | motion=85.61 | ocr=None
44.0s | motion=145.97 | ocr=None
45.0s | motion=81.26 | ocr=None
46.0s | motion=112.54 | ocr=None
47.0s | motion=0.08 | ocr=None
48.0s | motion=0.01 | ocr=None
49.0s | motion=44.53 | ocr=None
50.0s | motion=38.56 | ocr=None
51.0s | motion=11.84 | ocr=None
52.0s | motion=0.09 | ocr=None
53.0s | motion=35.13 | ocr=None
54.0s | motion=11.66 | ocr=None
55.0s | motion=9.63 | ocr=None
56.0s | motion=0.29 | ocr=None
57.0s | motion=5.02 | ocr=None
58.0s | motion=8.76 | ocr=None
59.0s | motion=0.00 | ocr=None
60.0s | motion=7.38 | ocr=None
61.0s | motion=7.37 | ocr=None
62.0s | motion=0.01 | ocr=None
63.0s | motion=0.01 | ocr=None
