Analysis for Sentral.com.analysis.json
Video file: Sentral.com.mp4
Duration: 28.666666666666668s, fps: 30.0, frames: 860

Top motion samples:
 - t=15.0s motion=66.64 ocr=None
 - t=16.0s motion=66.20 ocr=None
 - t=2.0s motion=64.28 ocr=None

Full sample timeline (time, motion, ocr):
0.0s | motion=0.00 | ocr=None
1.0s | motion=0.16 | ocr=None
2.0s | motion=64.28 | ocr=None
3.0s | motion=29.57 | ocr=None
4.0s | motion=0.02 | ocr=None
5.0s | motion=0.19 | ocr=None
6.0s | motion=46.99 | ocr=None
7.0s | motion=15.14 | ocr=None
8.0s | motion=1.61 | ocr=None
9.0s | motion=8.21 | ocr=None
10.0s | motion=0.00 | ocr=None
11.0s | motion=0.01 | ocr=None
12.0s | motion=0.04 | ocr=None
13.0s | motion=0.06 | ocr=None
14.0s | motion=31.93 | ocr=None
15.0s | motion=66.64 | ocr=None
16.0s | motion=66.20 | ocr=None
17.0s | motion=0.01 | ocr=None
18.0s | motion=0.18 | ocr=None
19.0s | motion=21.66 | ocr=None
20.0s | motion=0.00 | ocr=None
21.0s | motion=34.42 | ocr=None
22.0s | motion=14.92 | ocr=None
23.0s | motion=26.74 | ocr=None
24.0s | motion=0.01 | ocr=None
25.0s | motion=0.07 | ocr=None
26.0s | motion=0.05 | ocr=None
27.0s | motion=0.07 | ocr=None
28.0s | motion=0.01 | ocr=None
