Analysis for Windsorcommunites.analysis.json
Video file: Windsorcommunites.mp4
Duration: 49.833333333333336s, fps: 30.0, frames: 1495

Top motion samples:
 - t=2.0s motion=160.39 ocr=None
 - t=46.0s motion=143.35 ocr=None
 - t=38.0s motion=142.54 ocr=None

Full sample timeline (time, motion, ocr):
0.0s | motion=0.00 | ocr=None
1.0s | motion=0.42 | ocr=None
2.0s | motion=160.39 | ocr=None
3.0s | motion=0.36 | ocr=None
4.0s | motion=31.91 | ocr=None
5.0s | motion=31.13 | ocr=None
6.0s | motion=10.62 | ocr=None
7.0s | motion=7.39 | ocr=None
8.0s | motion=0.02 | ocr=None
9.0s | motion=3.78 | ocr=None
10.0s | motion=0.08 | ocr=None
11.0s | motion=0.96 | ocr=None
12.0s | motion=11.71 | ocr=None
13.0s | motion=19.42 | ocr=None
14.0s | motion=17.85 | ocr=None
15.0s | motion=0.97 | ocr=None
16.0s | motion=0.01 | ocr=None
17.0s | motion=0.07 | ocr=None
18.0s | motion=0.13 | ocr=None
19.0s | motion=0.00 | ocr=None
20.0s | motion=18.49 | ocr=None
21.0s | motion=9.68 | ocr=None
22.0s | motion=0.08 | ocr=None
23.0s | motion=0.00 | ocr=None
24.0s | motion=0.02 | ocr=None
25.0s | motion=0.12 | ocr=None
26.0s | motion=0.06 | ocr=None
27.0s | motion=9.38 | ocr=None
28.0s | motion=7.83 | ocr=None
29.0s | motion=7.44 | ocr=None
30.0s | motion=0.18 | ocr=None
31.0s | motion=0.01 | ocr=None
32.0s | motion=0.01 | ocr=None
33.0s | motion=9.36 | ocr=None
34.0s | motion=10.03 | ocr=None
35.0s | motion=8.28 | ocr=None
36.0s | motion=8.27 | ocr=None
37.0s | motion=0.16 | ocr=None
38.0s | motion=142.54 | ocr=None
39.0s | motion=0.06 | ocr=None
40.0s | motion=0.00 | ocr=None
41.0s | motion=0.18 | ocr=None
42.0s | motion=2.48 | ocr=None
43.0s | motion=1.83 | ocr=None
44.0s | motion=4.46 | ocr=None
45.0s | motion=3.29 | ocr=None
46.0s | motion=143.35 | ocr=None
47.0s | motion=0.07 | ocr=None
48.0s | motion=0.03 | ocr=None
49.0s | motion=0.02 | ocr=None
